 	X	Y
1	302.500	290.167
2	309.000	290.000
3	306.500	291.000
4	303.000	292.500
5	307.128	286.041
6	321.500	273.500
7	273.222	63.793
8	304.929	40.357
9	335.393	46.464
10	316.500	43.000
11	345.810	48.362
12	319.357	45.357
13	329.500	44.500
14	314.500	45.500
15	322.500	48.500
16	355.500	47.500
17	304.500	48.500
18	300.000	49.500
19	318.500	49.500
20	355.500	49.500
21	359.500	49.500
22	362.071	51.214
23	297.000	50.500
24	321.500	50.500
25	349.000	51.100
26	357.000	51.000
27	294.500	51.500
28	301.500	51.500
29	317.500	51.500
30	325.000	52.000
31	359.000	52.000
32	402.992	120.336
33	292.500	52.500
34	297.500	52.500
35	322.500	52.500
36	295.500	53.500
37	316.500	53.500
38	318.500	53.500
39	289.500	54.500
40	324.500	55.500
41	327.500	54.500
42	341.500	55.500
43	356.500	54.500
44	291.500	55.500
45	330.000	55.500
46	360.000	56.000
47	286.000	57.000
48	319.500	56.500
49	333.500	57.500
50	285.500	59.500
51	336.500	59.500
52	358.500	60.500
53	319.500	61.500
54	364.500	65.500
55	355.500	64.500
56	281.500	65.500
57	357.500	65.500
58	277.500	67.500
59	331.500	67.500
60	279.500	68.500
61	276.500	69.500
62	332.500	69.500
63	385.500	69.500
64	273.500	70.500
65	355.000	70.500
66	275.500	71.500
67	329.750	74.000
68	333.029	78.912
69	359.500	72.500
70	274.500	73.500
71	339.500	75.500
72	273.500	75.500
73	311.500	76.500
74	325.500	77.500
75	347.500	77.000
76	366.000	79.000
77	372.000	80.000
78	268.071	80.500
79	272.500	78.000
80	278.500	77.500
81	314.214	78.786
82	283.577	85.500
83	338.500	81.000
84	288.500	81.500
85	304.437	216.859
86	308.500	81.500
87	276.500	84.591
88	313.318	86.136
89	269.500	85.500
90	296.500	85.500
91	320.500	85.500
92	263.250	88.000
93	260.500	88.000
94	266.500	87.500
95	381.400	92.000
96	270.000	88.500
97	261.500	90.500
98	260.500	92.167
99	264.000	91.500
100	264.500	93.500
101	261.000	94.500
102	378.500	95.500
103	355.000	96.500
104	384.500	99.500
105	377.700	102.500
106	385.500	102.500
107	386.500	104.500
108	379.944	108.722
109	387.500	106.500
110	388.500	108.500
111	389.500	110.500
112	264.500	111.500
113	386.500	115.500
114	390.500	128.500
115	392.500	131.500
116	393.500	133.500
117	395.500	136.500
118	396.500	138.500
119	270.500	139.500
120	277.500	139.500
121	240.500	140.500
122	397.500	141.500
123	272.500	142.500
124	277.500	142.500
125	268.000	144.000
126	388.500	143.500
127	389.500	146.500
128	393.500	148.500
129	397.500	150.500
130	269.500	149.500
131	390.500	149.500
132	221.500	150.500
133	266.500	150.500
134	265.500	152.500
135	391.500	153.000
136	394.500	153.500
137	398.500	155.000
138	392.500	156.500
139	395.500	156.500
140	403.441	164.971
141	393.500	158.500
142	396.500	158.500
143	394.500	161.500
144	397.500	161.500
145	395.500	163.500
146	398.500	163.500
147	214.500	165.500
148	399.500	165.500
149	273.500	169.500
150	271.500	170.500
151	269.500	174.500
152	424.500	179.500
153	427.500	181.500
154	208.500	182.500
155	430.500	188.500
156	434.000	192.500
157	437.179	202.107
158	204.500	201.500
159	374.000	202.000
160	247.500	204.500
161	370.500	204.500
162	373.000	205.000
163	371.500	206.500
164	214.500	208.500
165	374.000	208.500
166	440.250	210.500
167	379.500	211.500
168	389.500	212.500
169	379.500	213.500
170	386.500	213.500
171	439.500	214.500
172	212.500	215.500
173	391.500	215.500
174	441.100	217.100
175	389.500	218.500
176	440.000	221.000
177	442.357	222.929
178	386.500	223.500
179	213.409	227.955
180	438.500	226.500
181	442.000	226.750
182	443.333	229.500
183	442.000	232.667
184	408.500	234.500
185	444.789	249.139
186	438.500	236.000
187	223.500	237.500
188	436.500	239.500
189	439.500	242.000
190	437.500	243.000
191	438.500	246.500
192	439.500	250.500
193	440.500	255.500
194	441.500	262.500
195	446.300	264.900
196	448.000	269.000
197	447.571	272.786
198	388.500	275.500
199	474.704	345.489
200	260.500	278.500
201	443.500	279.000
202	370.500	285.500
203	443.500	286.500
204	450.500	286.000
205	441.500	286.500
206	220.000	289.500
207	216.000	292.000
208	262.500	291.500
209	442.500	292.500
210	365.500	293.500
211	211.500	296.000
212	265.500	295.500
213	213.500	296.500
214	215.500	297.500
215	443.500	298.000
216	212.500	299.000
217	236.000	301.000
218	442.500	302.000
219	192.000	303.000
220	211.500	302.500
221	213.500	302.500
222	432.387	319.349
223	270.000	306.000
224	433.800	309.900
225	210.500	307.000
226	212.500	306.500
227	211.500	311.000
228	276.000	313.000
229	210.500	315.000
230	212.500	315.500
231	209.500	319.000
232	211.500	319.500
233	343.000	327.000
234	181.167	330.500
235	337.500	329.500
236	207.500	330.500
237	347.500	331.500
238	179.000	334.000
239	209.500	334.500
240	212.500	338.500
241	192.500	340.500
242	450.000	343.562
243	425.850	346.350
244	449.000	348.500
245	452.000	348.500
246	463.500	352.500
247	445.000	351.000
248	433.500	352.500
249	175.500	363.611
250	485.694	370.556
251	182.500	360.500
252	464.000	360.000
253	493.500	361.500
254	170.500	362.500
255	495.500	362.500
256	173.457	372.391
257	180.500	366.500
258	506.500	366.500
259	182.500	369.000
260	473.000	369.000
261	477.500	372.500
262	192.833	376.000
263	195.500	375.000
264	482.000	376.000
265	177.500	376.500
266	181.500	377.500
267	484.500	377.500
268	488.000	380.000
269	537.500	383.500
270	540.000	384.000
271	204.500	388.500
272	514.500	388.500
273	205.500	391.000
274	518.000	394.000
275	515.500	395.500
276	533.000	396.929
277	512.500	396.500
278	518.500	396.500
279	524.500	396.500
280	475.500	397.500
281	515.000	398.000
282	520.500	397.500
283	208.500	398.500
284	510.333	399.667
285	527.962	399.346
286	519.500	399.500
287	502.000	402.000
288	508.500	402.500
289	527.000	403.000
290	499.333	405.500
291	504.700	404.700
292	494.500	404.500
293	217.500	405.500
294	492.500	405.500
295	502.500	407.500
